City,Region,Country,Day,AvgTemperature,AvgCelsius
Birmingham,North America,US,13,54.8,12.67
Huntsville,North America,US,13,52.5,11.39
Mobile,North America,US,13,61.6,16.44
Montgomery,North America,US,13,55.1,12.83
Anchorage,North America,US,13,16.2,-8.78
Fairbanks,North America,US,13,25.0,-3.89
Juneau,North America,US,13,26.7,-2.94
Phoenix,North America,US,13,74.2,23.44
Tucson,North America,US,13,69.8,21.0
Fort Smith,North America,US,13,53.0,11.67
Little Rock,North America,US,13,53.1,11.72
Fresno,North America,US,13,55.4,13.0
Los Angeles,North America,US,13,61.7,16.5
Sacramento,North America,US,13,56.0,13.33
San Diego,North America,US,13,63.7,17.61
San Francisco,North America,US,13,59.7,15.39
Colorado Springs,North America,US,13,49.8,9.89
Denver,North America,US,13,50.3,10.17
Grand Junction,North America,US,13,47.5,8.61
Pueblo,North America,US,13,47.6,8.67
Bridgeport,North America,US,13,40.7,4.83
Hartford Springfield,North America,US,13,34.5,1.39
Washington,North America,US,13,45.2,7.33
Washington,North America,US,13,45.2,7.33
Washington DC,North America,US,13,45.2,7.33
Washington DC,North America,US,13,45.2,7.33
Jacksonville,North America,US,13,66.3,19.06
Miami Beach,North America,US,13,79.2,26.22
Orlando,North America,US,13,72.8,22.67
Tallahassee,North America,US,13,64.7,18.17
Tampa St. Petersburg,North America,US,13,76.5,24.72
West Palm Beach,North America,US,13,76.5,24.72
Atlanta,North America,US,13,52.2,11.22
Columbus,North America,US,13,57.1,13.94
Macon,North America,US,13,53.6,12.0
Savannah,North America,US,13,60.3,15.72
Honolulu,North America,US,13,78.5,25.83
Boise,North America,US,13,47.1,8.39
Pocatello,North America,US,13,39.9,4.39
Chicago,North America,US,13,36.4,2.44
Peoria,North America,US,13,38.6,3.67
Rockford,North America,US,13,32.7,0.39
Springfield,North America,US,13,41.6,5.33
Evansville,North America,US,13,44.4,6.89
Fort Wayne,North America,US,13,38.4,3.56
Indianapolis,North America,US,13,39.6,4.22
South Bend,North America,US,13,38.0,3.33
Des Moines,North America,US,13,35.1,1.72
Sioux City,North America,US,13,32.4,0.22
Goodland,North America,US,13,43.5,6.39
Topeka,North America,US,13,42.1,5.61
Wichita,North America,US,13,47.5,8.61
Lexington,North America,US,13,44.0,6.67
Louisville,North America,US,13,45.3,7.39
Paducah,North America,US,13,46.8,8.22
Lake Charles,North America,US,13,67.1,19.5
New Orleans,North America,US,13,66.1,18.94
Shreveport,North America,US,13,61.1,16.17
Caribou,North America,US,13,24.8,-4.0
Portland,North America,US,13,29.4,-1.44
Baltimore,North America,US,13,41.9,5.5
Boston,North America,US,13,39.6,4.22
